LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
Arlington County,06-Oct-2025 05:00:01,14599,0,0,708,2216,5388,0,0,2216,7604,392,1940,0,52,74,0,306,1798,0,5311,2077,216
Arlington County,07-Oct-2025 05:00:01,14031,0,0,738,2950,5830,0,0,2950,8780,398,1958,0,61,89,0,303,1797,0,6084,2446,250
Arlington County,08-Oct-2025 05:00:02,13690,0,0,767,3199,6250,0,0,3199,9449,400,1966,0,65,109,0,299,1780,0,6503,2676,270
Arlington County,09-Oct-2025 05:00:02,13241,0,0,790,3720,6527,0,0,3720,10247,404,1979,0,69,127,0,298,1770,0,7004,2948,295
Arlington County,10-Oct-2025 05:00:02,13011,0,0,815,4020,6916,0,0,4020,10936,409,1987,0,76,138,0,296,1764,0,7436,3167,333
Arlington County,11-Oct-2025 05:00:01,12957,0,0,846,4069,7591,0,0,4069,11660,419,2003,0,83,142,0,298,1767,0,7826,3461,373
Arlington County,12-Oct-2025 05:00:02,12957,0,0,846,4069,7591,0,0,4069,11660,419,2003,0,83,142,0,298,1767,0,7826,3461,373
Arlington County,13-Oct-2025 05:00:01,12978,0,0,847,4069,7591,0,0,4069,11660,419,2004,0,83,142,0,298,1768,0,7826,3461,373
Arlington County,14-Oct-2025 05:00:01,12975,0,0,880,4302,8029,0,0,4302,12331,424,2009,0,92,171,0,296,1744,0,8176,3746,409
Arlington County,15-Oct-2025 05:00:02,12718,0,0,920,4648,8525,0,0,4648,13173,428,2016,0,99,205,0,293,1711,0,8655,4059,459
Arlington County,16-Oct-2025 05:00:01,11985,0,0,948,5440,8930,0,0,5440,14370,434,2025,0,104,210,0,293,1713,0,9336,4526,508
Arlington County,17-Oct-2025 05:00:02,11497,0,0,973,5969,9229,0,0,5969,15198,438,2029,0,114,232,0,287,1692,0,9804,4853,541
Arlington County,18-Oct-2025 05:00:02,11365,0,0,993,6156,10010,0,0,6156,16166,445,2038,0,123,237,0,285,1692,0,10345,5238,583
Arlington County,19-Oct-2025 05:00:02,11365,0,0,993,6156,10010,0,0,6156,16166,445,2038,0,123,237,0,285,1692,0,10345,5238,583
Arlington County,20-Oct-2025 05:00:01,11365,0,0,993,6156,10010,0,0,6156,16166,445,2038,0,123,237,0,285,1692,0,10345,5238,583
Arlington County,21-Oct-2025 05:00:02,10991,0,0,1035,6783,10617,0,0,6783,17400,457,2053,0,134,275,0,285,1667,0,11061,5702,637
Arlington County,22-Oct-2025 05:00:01,10199,0,0,1093,7572,12043,0,0,7572,19615,472,2062,0,154,314,0,280,1632,0,12449,6449,717
Arlington County,23-Oct-2025 05:00:03,10139,0,0,1142,7799,13283,0,0,7799,21082,482,2077,0,165,335,0,279,1622,0,13377,6932,773
Arlington County,24-Oct-2025 05:00:02,9938,0,0,1166,6540,13285,1571,0,8111,21396,482,2086,0,171,357,0,272,1606,0,13515,7093,788
Arlington County,25-Oct-2025 05:00:01,9848,0,0,1246,6726,15342,1582,0,8308,23650,505,2099,0,192,412,0,275,1555,0,14848,7915,887
Arlington County,26-Oct-2025 05:00:01,9805,0,0,1314,6726,18206,1582,0,8308,26514,522,2111,0,208,423,0,275,1552,0,16493,9027,994
