SOURCE_LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
ARLINGTON COUNTY,06-Nov-2023 06:00:01,6916,0,74,815,8,11271,6781,0,6789,18134,242,934,1,106,221,0
ARLINGTON COUNTY,07-Nov-2023 06:00:01,6248,0,87,815,672,11271,6781,0,7453,18811,242,934,1,108,237,0
ARLINGTON COUNTY,08-Nov-2023 06:00:01,5577,0,87,815,1352,11271,6781,0,8133,19491,242,934,1,112,242,0
ARLINGTON COUNTY,09-Nov-2023 06:00:02,4765,0,87,815,2146,11271,6781,0,8927,20285,242,933,1,112,246,0
ARLINGTON COUNTY,10-Nov-2023 06:00:01,4331,0,87,815,2577,11271,6782,0,9359,20717,242,933,1,116,255,0
ARLINGTON COUNTY,11-Nov-2023 06:00:01,4331,0,87,815,2577,11271,6782,0,9359,20717,242,933,1,116,255,0
ARLINGTON COUNTY,12-Nov-2023 06:00:01,4331,0,87,815,2577,11271,6782,0,9359,20717,242,933,1,116,255,0
ARLINGTON COUNTY,13-Nov-2023 06:00:01,4331,0,87,815,2577,11271,6782,0,9359,20717,242,933,1,116,255,0
FAIRFAX CITY,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
FAIRFAX CITY,14-Sep-2023 12:01:00,0,1234,0,84,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,15-Sep-2023 06:00:01,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,16-Sep-2023 06:00:01,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,17-Sep-2023 06:00:02,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,18-Sep-2023 06:00:01,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,19-Sep-2023 06:00:01,0,1227,0,90,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,20-Sep-2023 06:00:01,1223,0,0,91,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,21-Sep-2023 06:00:02,1222,0,0,92,0,0,0,0,0,0,8,45,0,0,0,0
FAIRFAX CITY,22-Sep-2023 06:00:01,1264,0,0,103,0,0,0,0,0,0,8,46,0,0,0,0
FAIRFAX CITY,23-Sep-2023 06:00:01,1272,0,0,107,0,44,0,0,0,44,8,47,0,0,0,0
FAIRFAX CITY,24-Sep-2023 06:00:01,1272,0,0,107,0,44,0,0,0,44,8,47,0,0,0,0
FAIRFAX CITY,25-Sep-2023 06:00:02,1272,0,0,107,0,44,0,0,0,44,8,47,0,0,0,0
FAIRFAX CITY,26-Sep-2023 06:00:01,1265,0,0,111,3,74,0,0,3,77,8,47,0,0,0,0
FAIRFAX CITY,27-Sep-2023 06:00:01,1230,0,0,125,10,86,0,0,10,96,7,47,0,0,0,0
FAIRFAX CITY,28-Sep-2023 06:00:01,1255,0,0,125,21,115,0,0,21,136,8,47,0,0,0,0
FAIRFAX CITY,29-Sep-2023 06:00:02,1201,0,0,126,71,138,0,0,71,209,8,47,0,0,0,0
FAIRFAX CITY,30-Sep-2023 06:00:01,1199,0,0,129,77,179,0,0,77,256,10,47,0,2,0,0
FAIRFAX CITY,02-Oct-2023 06:00:01,1199,0,0,129,77,179,0,0,77,256,10,47,0,2,0,0
FAIRFAX CITY,03-Oct-2023 06:00:02,1132,0,0,129,141,207,0,0,141,348,10,47,0,2,0,0
